copy_count,sample_name,sample_index,blender_sample_seed,star_enhancement_seed,star_count,saved_frame_count,metadata_txt_exists,metadata_csv_exists,star_metadata_exists
100,sample_0002,2,507939095,1436118455,237,100,1,1,1
100,sample_0003,3,992591282,3883463937,232,100,1,1,1
100,sample_0004,4,385799521,434474691,147,100,1,1,1
100,sample_0005,5,869423050,4025010206,146,100,1,1,1
100,sample_0006,6,746724468,1395258390,128,100,1,1,1
100,sample_0007,7,606677747,1700990565,125,100,1,1,1
100,sample_0008,8,468078412,712226398,228,100,1,1,1
100,sample_0009,9,534582313,1168136526,201,100,1,1,1
100,sample_0010,10,931128888,1083243939,123,100,1,1,1
100,sample_0011,11,432834013,797856605,154,100,1,1,1
100,sample_0012,12,402018689,60721159,128,100,1,1,1
100,sample_0013,13,535312933,180571071,134,100,1,1,1
100,sample_0014,14,914086152,2394818,146,100,1,1,1
100,sample_0015,15,658750973,2010139811,195,100,1,1,1
100,sample_0016,16,968547696,3739235510,153,100,1,1,1
100,sample_0017,17,87360897,920697405,120,100,1,1,1
100,sample_0018,18,105068178,1950797337,252,100,1,1,1
100,sample_0019,19,544410684,1699510636,214,100,1,1,1
100,sample_0020,20,606197654,1639002834,224,100,1,1,1
100,sample_0021,21,131250075,2884480990,246,100,1,1,1
100,sample_0022,22,491866073,3937442601,238,100,1,1,1
100,sample_0023,23,799144804,4109485520,236,100,1,1,1
100,sample_0024,24,39001032,3506516664,221,100,1,1,1
100,sample_0025,25,145626721,353338548,218,100,1,1,1
100,sample_0026,26,851428369,359996122,187,100,1,1,1
100,sample_0027,27,978271245,1909665231,201,100,1,1,1
100,sample_0028,28,978598816,1439298832,128,100,1,1,1
100,sample_0029,29,597862575,2190323201,143,100,1,1,1
100,sample_0030,30,201394166,2098248527,227,100,1,1,1
100,sample_0031,31,817167146,1942605674,190,100,1,1,1
100,sample_0032,32,598511802,2296090731,154,100,1,1,1
100,sample_0033,33,559076737,1956555409,207,100,1,1,1
100,sample_0034,34,210298277,1591132957,159,100,1,1,1
100,sample_0035,35,755103391,1540375737,229,100,1,1,1
100,sample_0036,36,372857472,1524286772,181,100,1,1,1
100,sample_0037,37,412723526,3928270462,161,100,1,1,1
100,sample_0038,38,604180838,4160126203,155,100,1,1,1
100,sample_0039,39,194147528,1293693738,240,100,1,1,1
100,sample_0040,40,213710336,688486615,223,100,1,1,1
150,sample_0001,1,544404617,3283263546,258,100,1,1,1
150,sample_0002,2,521550398,563698582,218,100,1,1,1
150,sample_0003,3,301768791,3300391144,239,100,1,1,1
150,sample_0004,4,439591424,2639793173,134,100,1,1,1
150,sample_0005,5,111030141,1553714907,255,100,1,1,1
150,sample_0006,6,722097807,3460701736,233,100,1,1,1
150,sample_0007,7,496282208,2937390367,245,100,1,1,1
150,sample_0008,8,601876407,3076124938,150,100,1,1,1
150,sample_0009,9,181326622,1460107657,212,100,1,1,1
150,sample_0010,10,973591410,483758390,215,100,1,1,1
150,sample_0011,11,959600760,2932297868,216,100,1,1,1
150,sample_0012,12,726182822,2549410048,227,100,1,1,1
150,sample_0013,13,162329648,573521656,149,100,1,1,1
150,sample_0014,14,640183106,2914461901,137,100,1,1,1
150,sample_0015,15,467440834,2131910843,178,100,1,1,1
150,sample_0016,16,1252293,1937830622,205,100,1,1,1
150,sample_0017,17,479061727,3808030014,190,100,1,1,1
150,sample_0018,18,550355168,4096107364,177,100,1,1,1
150,sample_0019,19,561334829,3115214208,245,100,1,1,1
150,sample_0020,20,270143898,494430421,206,100,1,1,1
150,sample_0021,21,538252155,4150980343,204,100,1,1,1
150,sample_0022,22,231239564,2293314428,219,100,1,1,1
150,sample_0023,23,178207726,3395988748,257,100,1,1,1
150,sample_0024,24,333960683,2871843698,211,100,1,1,1
150,sample_0025,25,551428045,1547638528,220,100,1,1,1
150,sample_0026,26,608998502,2036780696,194,100,1,1,1
150,sample_0027,27,813655263,2453872160,258,100,1,1,1
150,sample_0028,28,58623885,3915185904,204,100,1,1,1
150,sample_0029,29,570082801,479381395,200,100,1,1,1
150,sample_0030,30,883888897,32753789,259,100,1,1,1
150,sample_0031,31,403580233,1798606116,168,100,1,1,1
150,sample_0032,32,388313996,641670391,246,100,1,1,1
150,sample_0033,33,479238031,1067307158,242,100,1,1,1
150,sample_0034,34,749746395,274275989,256,100,1,1,1
150,sample_0035,35,105334132,2920514184,185,100,1,1,1
150,sample_0036,36,359954018,2106807251,127,100,1,1,1
150,sample_0037,37,666926473,3409927976,215,100,1,1,1
150,sample_0038,38,715288395,539962464,144,100,1,1,1
150,sample_0039,39,925041061,2904910536,163,100,1,1,1
150,sample_0040,40,207666993,1386680956,153,100,1,1,1
200,sample_0001,1,423067630,3515233705,178,100,1,1,1
200,sample_0002,2,765069702,3998756425,243,100,1,1,1
200,sample_0003,3,553566296,3704131770,193,100,1,1,1
200,sample_0004,4,887311643,1490332987,141,100,1,1,1
200,sample_0005,5,858075472,643268585,242,100,1,1,1
200,sample_0006,6,394577395,795894519,143,100,1,1,1
200,sample_0007,7,60846268,3145038623,195,100,1,1,1
200,sample_0008,8,282470371,438555837,178,100,1,1,1
200,sample_0009,9,336303434,1840553704,137,100,1,1,1
200,sample_0010,10,352993267,535578312,206,100,1,1,1
200,sample_0011,11,121222140,629900365,138,100,1,1,1
200,sample_0012,12,358688034,3860512302,129,100,1,1,1
200,sample_0013,13,939970900,363816985,194,100,1,1,1
200,sample_0014,14,665042786,2346486008,255,100,1,1,1
200,sample_0015,15,934842964,2117450090,227,100,1,1,1
200,sample_0016,16,710736320,2581333054,164,100,1,1,1
200,sample_0017,17,537705101,2812867419,139,100,1,1,1
200,sample_0018,18,584936682,3333616491,245,100,1,1,1
200,sample_0019,19,586539306,268433222,246,100,1,1,1
200,sample_0020,20,923501324,3266375031,139,100,1,1,1
200,sample_0021,21,391779003,3829216401,185,100,1,1,1
200,sample_0022,22,476877591,1484113631,235,100,1,1,1
200,sample_0023,23,891914806,2513935667,249,100,1,1,1
200,sample_0024,24,268212191,3366738187,243,100,1,1,1
200,sample_0025,25,738444700,3050810591,258,100,1,1,1
200,sample_0026,26,980250651,1652060567,139,100,1,1,1
200,sample_0027,27,767898627,2359997356,218,100,1,1,1
200,sample_0028,28,333589152,2963809588,254,100,1,1,1
200,sample_0029,29,755896964,3209406234,254,100,1,1,1
200,sample_0030,30,962414651,1109985387,127,100,1,1,1
200,sample_0031,31,13794868,3105342459,162,100,1,1,1
200,sample_0032,32,270782367,4108937397,129,100,1,1,1
200,sample_0033,33,153247220,2246100271,189,100,1,1,1
200,sample_0034,34,102340546,2531323899,186,100,1,1,1
200,sample_0035,35,848468920,2564467596,126,100,1,1,1
200,sample_0036,36,856079692,2898500156,225,100,1,1,1
200,sample_0037,37,321257131,4087160595,198,100,1,1,1
200,sample_0038,38,809786470,2497520584,158,100,1,1,1
200,sample_0039,39,942081046,2718726222,194,100,1,1,1
200,sample_0040,40,446563622,432883031,157,100,1,1,1
250,sample_0001,1,447786533,3490793188,193,100,1,1,1
250,sample_0002,2,389041424,3659712895,154,100,1,1,1
250,sample_0003,3,47437192,4257746596,187,100,1,1,1
250,sample_0004,4,87656826,4047607229,188,100,1,1,1
250,sample_0005,5,516539064,1553181547,205,100,1,1,1
250,sample_0006,6,423640720,1074517252,130,100,1,1,1
250,sample_0007,7,722719233,1730814844,234,100,1,1,1
250,sample_0008,8,127762726,2018771836,179,100,1,1,1
250,sample_0009,9,785794632,4211979173,149,100,1,1,1
250,sample_0010,10,614915225,1160452436,132,100,1,1,1
250,sample_0011,11,612816960,721928638,173,100,1,1,1
250,sample_0012,12,462972135,63188694,177,100,1,1,1
250,sample_0013,13,55457687,288379791,241,100,1,1,1
250,sample_0014,14,797363051,1579189621,181,100,1,1,1
250,sample_0015,15,716984147,3383480025,189,100,1,1,1
250,sample_0016,16,775125216,521858473,121,100,1,1,1
250,sample_0017,17,172564980,1092588615,210,100,1,1,1
250,sample_0018,18,836308857,3222544930,258,100,1,1,1
250,sample_0019,19,733952406,1360081490,244,100,1,1,1
250,sample_0020,20,311396047,4250413280,136,100,1,1,1
250,sample_0021,21,524815262,2462472709,209,100,1,1,1
250,sample_0022,22,253382229,3060304183,127,100,1,1,1
250,sample_0023,23,349066380,3342105213,161,100,1,1,1
250,sample_0024,24,87668485,3545747215,241,100,1,1,1
250,sample_0025,25,778569085,1556043982,163,100,1,1,1
250,sample_0026,26,893605791,566297893,223,100,1,1,1
250,sample_0027,27,217174369,4162435752,232,100,1,1,1
250,sample_0028,28,523034390,1321208377,154,100,1,1,1
250,sample_0029,29,22459166,1563247484,234,100,1,1,1
250,sample_0030,30,427763069,560447157,165,100,1,1,1
250,sample_0031,31,285522337,330271313,136,100,1,1,1
250,sample_0032,32,828826181,2254190932,228,100,1,1,1
250,sample_0033,33,440016671,2390042736,176,100,1,1,1
250,sample_0034,34,119296510,3678944282,123,100,1,1,1
250,sample_0035,35,356324242,1348291608,168,100,1,1,1
250,sample_0036,36,297780666,1818357322,211,100,1,1,1
250,sample_0037,37,864926333,1343669588,141,100,1,1,1
250,sample_0038,38,250113406,445475581,173,100,1,1,1
250,sample_0039,39,206984210,2714442471,155,100,1,1,1
250,sample_0040,40,67825647,640450513,180,100,1,1,1
300,sample_0001,1,584161122,3606109209,185,100,1,1,1
300,sample_0002,2,15438703,1899183891,136,100,1,1,1
300,sample_0003,3,355160632,1262524684,130,100,1,1,1
300,sample_0004,4,471366946,4220361204,121,100,1,1,1
300,sample_0005,5,373408244,3719298790,153,100,1,1,1
300,sample_0006,6,581770255,410578151,242,100,1,1,1
300,sample_0007,7,705548523,1396668789,221,100,1,1,1
300,sample_0008,8,53132721,2305913126,194,100,1,1,1
300,sample_0009,9,526408506,3952881303,126,100,1,1,1
300,sample_0010,10,353013194,2299799988,201,100,1,1,1
300,sample_0011,11,233720244,309933688,256,100,1,1,1
300,sample_0012,12,827340245,353970720,149,100,1,1,1
300,sample_0013,13,782609766,1593148811,258,100,1,1,1
300,sample_0014,14,278725367,3886761359,125,100,1,1,1
300,sample_0015,15,101821045,3789404660,179,100,1,1,1
300,sample_0016,16,89021985,259130253,228,100,1,1,1
300,sample_0017,17,458615176,3141000539,227,100,1,1,1
300,sample_0018,18,865834649,2260163157,250,100,1,1,1
300,sample_0019,19,43277048,330237625,155,100,1,1,1
300,sample_0020,20,848845332,1685270513,157,100,1,1,1
300,sample_0021,21,550220177,4274684979,226,100,1,1,1
300,sample_0022,22,458179630,453646350,236,100,1,1,1
300,sample_0023,23,80685258,1256531807,157,100,1,1,1
300,sample_0024,24,528379626,3262365440,247,100,1,1,1
300,sample_0025,25,336302560,3611838641,139,100,1,1,1
300,sample_0026,26,327401818,333582912,145,100,1,1,1
300,sample_0027,27,894552735,522817677,228,100,1,1,1
300,sample_0028,28,129711388,1953596028,138,100,1,1,1
300,sample_0029,29,585799536,1893563635,178,100,1,1,1
300,sample_0030,30,48529131,3214395936,196,100,1,1,1
300,sample_0031,31,238450955,1065422967,161,100,1,1,1
300,sample_0032,32,384898675,1076792137,230,100,1,1,1
300,sample_0033,33,997422122,1453519784,138,100,1,1,1
300,sample_0034,34,796547380,2835821030,174,100,1,1,1
300,sample_0035,35,272479736,1686127054,260,100,1,1,1
300,sample_0036,36,356820302,1059912395,162,100,1,1,1
300,sample_0037,37,287878004,56469538,235,100,1,1,1
300,sample_0038,38,609721491,2226668842,148,100,1,1,1
300,sample_0039,39,268677104,4197491939,142,100,1,1,1
300,sample_0040,40,157934880,582602015,253,100,1,1,1
350,sample_0001,1,636702482,4293931287,168,100,1,1,1
350,sample_0002,2,233515132,2762307344,167,100,1,1,1
350,sample_0003,3,53780038,4061532767,237,100,1,1,1
350,sample_0004,4,704111971,3496246945,136,100,1,1,1
350,sample_0005,5,196634030,3040431694,151,100,1,1,1
350,sample_0006,6,926492645,945992309,250,100,1,1,1
350,sample_0007,7,314900100,3963979461,165,100,1,1,1
350,sample_0008,8,788897875,494320305,126,100,1,1,1
350,sample_0009,9,419951580,2725962325,191,100,1,1,1
350,sample_0010,10,482943589,1096023165,149,100,1,1,1
350,sample_0011,11,781065979,276867048,212,100,1,1,1
350,sample_0012,12,586945935,173659407,220,100,1,1,1
350,sample_0013,13,218784601,567487338,142,100,1,1,1
350,sample_0014,14,632488484,4119163212,159,100,1,1,1
350,sample_0015,15,450573051,304467881,124,100,1,1,1
350,sample_0016,16,281957093,957870426,226,100,1,1,1
350,sample_0017,17,575439961,4286464636,129,100,1,1,1
350,sample_0018,18,151542229,598630007,164,100,1,1,1
350,sample_0019,19,923317541,1287839626,129,100,1,1,1
350,sample_0020,20,391362374,1494300175,240,100,1,1,1
350,sample_0021,21,87447304,1057049246,196,100,1,1,1
350,sample_0022,22,434613880,1698716119,226,100,1,1,1
350,sample_0023,23,179282130,2967643605,205,100,1,1,1
350,sample_0024,24,131374235,902058403,225,100,1,1,1
350,sample_0025,25,315670681,3181873740,150,100,1,1,1
350,sample_0026,26,627607957,4090506648,228,100,1,1,1
350,sample_0027,27,792782743,681729991,171,100,1,1,1
350,sample_0028,28,765577459,1093067482,227,100,1,1,1
350,sample_0029,29,561187405,2079646265,230,100,1,1,1
350,sample_0030,30,901912486,2637211800,226,100,1,1,1
350,sample_0031,31,986118910,3357589999,152,100,1,1,1
350,sample_0032,32,442291249,3079998346,250,100,1,1,1
350,sample_0033,33,218815441,3521960974,171,100,1,1,1
350,sample_0034,34,514916509,1217399917,244,100,1,1,1
350,sample_0035,35,151123194,1591140664,141,100,1,1,1
350,sample_0036,36,909125485,620666807,209,100,1,1,1
350,sample_0037,37,343041827,2069738716,180,100,1,1,1
350,sample_0038,38,177421585,85174171,252,100,1,1,1
350,sample_0039,39,560052270,4085982632,139,100,1,1,1
350,sample_0040,40,423195181,1953869378,237,100,1,1,1
400,sample_0001,1,986436594,793198968,226,100,1,1,1
400,sample_0002,2,626317633,1746294665,223,100,1,1,1
400,sample_0003,3,686603559,1593107371,158,100,1,1,1
400,sample_0004,4,719603858,3446167159,226,100,1,1,1
400,sample_0005,5,489800149,3161758276,152,100,1,1,1
400,sample_0006,6,345820501,4155929194,222,100,1,1,1
400,sample_0007,7,786560677,1031207954,170,100,1,1,1
400,sample_0008,8,30548598,3504095882,242,100,1,1,1
400,sample_0009,9,551640840,2903654540,218,100,1,1,1
400,sample_0010,10,159521072,1658106216,193,100,1,1,1
400,sample_0011,11,605131736,2472066138,242,100,1,1,1
400,sample_0012,12,448463566,2818666303,163,100,1,1,1
400,sample_0013,13,68140301,2166093027,217,100,1,1,1
400,sample_0014,14,765211376,2305307199,243,100,1,1,1
400,sample_0015,15,659897360,667341484,258,100,1,1,1
400,sample_0016,16,79676476,3981457601,240,100,1,1,1
400,sample_0017,17,959981485,825888495,232,100,1,1,1
400,sample_0018,18,19388924,391170619,152,100,1,1,1
400,sample_0019,19,813224939,1342148880,234,100,1,1,1
400,sample_0020,20,905008917,1339574931,133,100,1,1,1
400,sample_0021,21,410337230,3917076770,199,100,1,1,1
400,sample_0022,22,506137056,121935738,218,100,1,1,1
400,sample_0023,23,147283685,179870889,229,100,1,1,1
400,sample_0024,24,738373507,2618826676,138,100,1,1,1
400,sample_0025,25,98874000,1893510084,136,100,1,1,1
400,sample_0026,26,583727319,1158203954,133,100,1,1,1
400,sample_0027,27,570755545,3131885863,169,100,1,1,1
400,sample_0028,28,438559356,3934891029,128,100,1,1,1
400,sample_0029,29,286022047,1635006915,185,100,1,1,1
400,sample_0030,30,446249494,3578751082,226,100,1,1,1
400,sample_0031,31,758075898,252238883,160,100,1,1,1
400,sample_0032,32,616110660,478553783,130,100,1,1,1
400,sample_0033,33,394284856,3800313412,222,100,1,1,1
400,sample_0034,34,230914262,36253091,140,100,1,1,1
400,sample_0035,35,776807874,2132124947,202,100,1,1,1
400,sample_0036,36,849815319,293758564,240,100,1,1,1
400,sample_0037,37,367718376,213455181,250,100,1,1,1
400,sample_0038,38,178471356,3762239339,160,100,1,1,1
400,sample_0039,39,750284692,3808644090,211,100,1,1,1
400,sample_0040,40,957938570,2202216417,167,100,1,1,1
450,sample_0001,1,34499602,1411772712,155,100,1,1,1
450,sample_0002,2,944151904,3526627336,201,100,1,1,1
450,sample_0003,3,912538949,4239308886,149,100,1,1,1
450,sample_0004,4,977631939,1545299598,177,100,1,1,1
450,sample_0005,5,4086150,33746002,163,100,1,1,1
450,sample_0006,6,8250267,4211813346,217,100,1,1,1
450,sample_0007,7,60028947,638299208,192,100,1,1,1
450,sample_0008,8,367468065,987547705,238,100,1,1,1
450,sample_0009,9,846788289,3718620795,216,100,1,1,1
450,sample_0010,10,229065345,2266473153,120,100,1,1,1
450,sample_0011,11,411313723,3011094664,218,100,1,1,1
450,sample_0012,12,263765193,3030165709,134,100,1,1,1
450,sample_0013,13,751549766,3427373409,252,100,1,1,1
450,sample_0014,14,109787451,2832882842,259,100,1,1,1
450,sample_0015,15,208582583,195406909,165,100,1,1,1
450,sample_0016,16,300160739,2541998682,135,100,1,1,1
450,sample_0017,17,470200810,4158281756,173,100,1,1,1
450,sample_0018,18,876162726,220424677,232,100,1,1,1
450,sample_0019,19,3346823,591764545,127,100,1,1,1
450,sample_0020,20,760003766,1807710589,254,100,1,1,1
450,sample_0021,21,670392237,510490106,179,100,1,1,1
450,sample_0022,22,30506591,1781922261,147,100,1,1,1
450,sample_0023,23,448400500,4030677267,207,100,1,1,1
450,sample_0024,24,337452322,593972362,216,100,1,1,1
450,sample_0025,25,4276248,943865804,147,100,1,1,1
450,sample_0026,26,363157823,2717306055,241,100,1,1,1
450,sample_0027,27,803329633,2449071582,120,100,1,1,1
450,sample_0028,28,154970390,3558234224,249,100,1,1,1
450,sample_0029,29,172722492,3438887700,205,100,1,1,1
450,sample_0030,30,167771218,1814335711,175,100,1,1,1
450,sample_0031,31,280515508,174223238,223,100,1,1,1
450,sample_0032,32,808852257,1647808651,135,100,1,1,1
450,sample_0033,33,867645364,3995371796,177,100,1,1,1
450,sample_0034,34,454039494,1488247609,184,100,1,1,1
450,sample_0035,35,355177515,657477057,154,100,1,1,1
450,sample_0036,36,665509699,2731635420,137,100,1,1,1
450,sample_0037,37,826348810,2856382417,260,100,1,1,1
450,sample_0038,38,788954924,1946377596,127,100,1,1,1
450,sample_0039,39,868960960,1091740279,212,100,1,1,1
450,sample_0040,40,481494825,2540000296,180,100,1,1,1
500,sample_0001,1,302698221,3793195025,164,100,1,1,1
500,sample_0002,2,585184829,251475404,174,100,1,1,1
500,sample_0003,3,705580251,1484064367,126,100,1,1,1
500,sample_0004,4,774091614,4247453761,226,100,1,1,1
500,sample_0005,5,206158851,794425219,226,100,1,1,1
500,sample_0006,6,733631006,2531775587,244,100,1,1,1
500,sample_0007,7,843984086,2051332851,124,100,1,1,1
500,sample_0008,8,51507734,993597838,129,100,1,1,1
500,sample_0009,9,885148021,4150564149,180,100,1,1,1
500,sample_0010,10,775812750,2316828468,157,100,1,1,1
500,sample_0011,11,162044908,3175602189,202,100,1,1,1
500,sample_0012,12,951427908,4115599252,214,100,1,1,1
500,sample_0013,13,288239438,3632685694,256,100,1,1,1
500,sample_0014,14,529924019,3407561839,125,100,1,1,1
500,sample_0015,15,696217278,116534763,172,100,1,1,1
500,sample_0016,16,139260663,2772859249,169,100,1,1,1
500,sample_0017,17,882440696,2304168173,203,100,1,1,1
500,sample_0018,18,543116079,2458493990,133,100,1,1,1
500,sample_0019,19,804653898,21396977,191,100,1,1,1
500,sample_0020,20,662168633,4089158555,227,100,1,1,1
500,sample_0021,21,115164245,651999869,173,100,1,1,1
500,sample_0022,22,908304058,2040156737,162,100,1,1,1
500,sample_0023,23,986748753,41621933,230,100,1,1,1
500,sample_0024,24,53269706,528106548,232,100,1,1,1
500,sample_0025,25,560394827,3794172653,222,100,1,1,1
500,sample_0026,26,398009583,222367161,142,100,1,1,1
500,sample_0027,27,540208545,1196365191,141,100,1,1,1
500,sample_0028,28,52307515,4142340581,202,100,1,1,1
500,sample_0029,29,52522422,1368806059,192,100,1,1,1
500,sample_0030,30,626657175,1107083681,189,100,1,1,1
500,sample_0031,31,565179491,890481697,143,100,1,1,1
500,sample_0032,32,707419656,535342101,129,100,1,1,1
500,sample_0033,33,208559308,3356668284,260,100,1,1,1
500,sample_0034,34,561451086,1386063216,260,100,1,1,1
500,sample_0035,35,271681835,2873767803,140,100,1,1,1
500,sample_0036,36,770590877,1280495217,150,100,1,1,1
500,sample_0037,37,809872498,2087651390,162,100,1,1,1
500,sample_0038,38,453058897,2473081847,164,100,1,1,1
500,sample_0039,39,99517592,1416043067,226,100,1,1,1
500,sample_0040,40,476693834,3215936705,189,100,1,1,1
